"source_cluster","target_cluster","time_bin","n"
"Cluster_4","Cluster_4","(0.667,0.994]",134
"Cluster_1","Cluster_1","(0.994,1.32]",232
"Cluster_2","Cluster_1","(0.994,1.32]",26
"Cluster_3","Cluster_1","(0.994,1.32]",762
"Cluster_4","Cluster_1","(0.994,1.32]",5
"Cluster_1","Cluster_2","(0.994,1.32]",33
"Cluster_2","Cluster_2","(0.994,1.32]",77
"Cluster_3","Cluster_2","(0.994,1.32]",242
"Cluster_4","Cluster_2","(0.994,1.32]",2
"Cluster_1","Cluster_3","(0.994,1.32]",271
"Cluster_2","Cluster_3","(0.994,1.32]",82
"Cluster_3","Cluster_3","(0.994,1.32]",1994
"Cluster_4","Cluster_3","(0.994,1.32]",3
"Cluster_1","Cluster_4","(0.994,1.32]",209
"Cluster_2","Cluster_4","(0.994,1.32]",64
"Cluster_3","Cluster_4","(0.994,1.32]",922
"Cluster_4","Cluster_4","(0.994,1.32]",39
"Cluster_1","Cluster_1","(1.32,1.65]",154
"Cluster_2","Cluster_1","(1.32,1.65]",8
"Cluster_3","Cluster_1","(1.32,1.65]",212
"Cluster_1","Cluster_2","(1.32,1.65]",18
"Cluster_2","Cluster_2","(1.32,1.65]",54
"Cluster_3","Cluster_2","(1.32,1.65]",130
"Cluster_4","Cluster_2","(1.32,1.65]",2
"Cluster_1","Cluster_3","(1.32,1.65]",163
"Cluster_2","Cluster_3","(1.32,1.65]",28
"Cluster_3","Cluster_3","(1.32,1.65]",870
"Cluster_4","Cluster_3","(1.32,1.65]",5
"Cluster_1","Cluster_4","(1.32,1.65]",147
"Cluster_2","Cluster_4","(1.32,1.65]",110
"Cluster_3","Cluster_4","(1.32,1.65]",466
"Cluster_4","Cluster_4","(1.32,1.65]",28
"Cluster_1","Cluster_1","(1.65,1.98]",23
"Cluster_3","Cluster_1","(1.65,1.98]",108
"Cluster_1","Cluster_3","(1.65,1.98]",58
"Cluster_2","Cluster_3","(1.65,1.98]",11
"Cluster_3","Cluster_3","(1.65,1.98]",425
"Cluster_4","Cluster_3","(1.65,1.98]",1
"Cluster_1","Cluster_4","(1.65,1.98]",78
"Cluster_2","Cluster_4","(1.65,1.98]",24
"Cluster_3","Cluster_4","(1.65,1.98]",141
"Cluster_4","Cluster_4","(1.65,1.98]",4
"Cluster_1","Cluster_1","(1.98,2.3]",28
"Cluster_2","Cluster_1","(1.98,2.3]",10
"Cluster_3","Cluster_1","(1.98,2.3]",78
"Cluster_1","Cluster_3","(1.98,2.3]",40
"Cluster_2","Cluster_3","(1.98,2.3]",13
"Cluster_3","Cluster_3","(1.98,2.3]",228
"Cluster_4","Cluster_3","(1.98,2.3]",1
"Cluster_1","Cluster_4","(1.98,2.3]",18
"Cluster_2","Cluster_4","(1.98,2.3]",36
"Cluster_3","Cluster_4","(1.98,2.3]",104
"Cluster_4","Cluster_4","(1.98,2.3]",3
