"tweet_id","cascade_rows","size","edge_count","root_count","component_count","depth_graph","depth_field","max_breadth","avg_breadth","root_breadth","root_share","branching_mean","branching_sd","structural_virality","time_min","time_max","time_span","time_to_50pct","time_to_80pct","avg_interaction","avg_interest_similarity","avg_structural_redundancy","avg_number_exposures","total_number_exposures","mean_reciprocity","mean_retweeting_inertia","mean_followers_retweeter","mean_friends_retweeter","mean_statuses_retweeter","mean_age_retweeter","mean_followers_parent","mean_friends_parent","mean_statuses_parent","mean_age_parent","root_followers","root_friends","root_statuses","root_age","embed_1","embed_2","embed_3","embed_4","embed_5","cascade_type","shape_cluster"
"1099780868548235265",26,27,26,1,1,2,2,24,9,24,0.923076923076923,8.66666666666667,13.2790561913614,2.06267806267806,-0.251401363990055,0.182222366918037,0.433623730908092,-0.251401363990055,-0.251401363990055,2.86363764855213,0.162255615916669,0.0267354274049521,0,0,0.0769230769230769,0.803555136821284,566.038461538462,622.423076923077,33918,2.65384615384615,5838.80769230769,61.6153846153846,8305.19230769231,1.19230769230769,6275,17,1441,1,4.90781318167842,1,0.95570381067752,0.0000000000000000224854005601702,0.00000000000000000157513028540755,"broadcast",1
"1099781896156921856",7,8,7,1,1,2,2,6,2.66666666666667,6,0.857142857142857,3.5,3.53553390593274,1.92857142857143,-1.90597532042447,-1.24504098713603,0.66093433328844,-1.90597532042447,-1.90597532042447,0.75107076743254,0.0109588147274536,0.0423725099725299,0,0,0.142857142857143,0.748063458876015,1705,1764.14285714286,34350,7.14285714285714,1335.14285714286,1039.85714285714,12409.7142857143,7.85714285714286,610,294,13611,8,2.48848998462265,0.898564186039456,0,0,0,"unclassified",NA
"1099783099938951169",6,7,6,1,1,2,2,5,2.33333333333333,5,0.833333333333333,3,2.82842712474619,1.9047619047619,-2.77160174321102,-0.268931053837013,2.50267068937401,-0.268931053837013,-0.268931053837013,2.31878497689023,0.0257997036353252,0.0443226466720695,0,0,0.166666666666667,0.559973055090172,663.333333333333,1233,97382.1666666667,8.33333333333333,41251.8333333333,904.166666666667,218807.5,10.1666666666667,49266,559,238456,10,2.28824561127074,0.874032048897642,0,0,0,"unclassified",NA
"1099786837063753728",14,15,14,1,1,5,5,4,2.5,3,0.214285714285714,2.33333333333333,1.211060141639,3.27619047619048,-1.85102075947728,0.248760850881701,2.09978161035898,-0.413001899232605,-0.0740897644935242,2.71848640717289,0.0662463573935795,0.0697248315323221,0.433458970588865,6.06842558824411,0.785714285714286,0.648676292502673,4229.42857142857,2824.14285714286,48494.6428571429,5.64285714285714,6242.28571428571,2922.14285714286,70345.9285714286,4.85714285714286,6061,794,18952,6,2.48340390509394,1.97491256587411,1.67967413451777,0.922801313785764,0.509468289910151,"viral",2
"1099789773068271616",3,4,3,1,1,2,2,2,1.33333333333333,2,0.666666666666667,1.5,0.707106781186548,1.66666666666667,-0.73803045284377,-0.303341629741493,0.434688823102277,-0.73803045284377,-0.477217158982404,3.96338523135454,0.309585744874179,0.0357397181849312,0,0,1,0.869223213599219,14882.3333333333,968.333333333333,43419.3333333333,6,1432.66666666667,779.666666666667,17136,4,1505,500,1155,1,1.61803398874989,0.618033988749895,-0.618033988749895,-1.61803398874989,0,"unclassified",NA
"1099790607726317568",15,16,15,1,1,4,4,11,3.2,11,0.733333333333333,3.75,4.85626742811116,2.59166666666667,-1.38030745279534,-0.152023929103772,1.22828352369157,-0.958051159382291,-0.905243571055583,1.0280177014996,0.0117649309569786,0.0227782382346697,0,0,0.133333333333333,0.739767534745702,1690,1330.66666666667,66621.4,6.66666666666667,1189.13333333333,934.6,47346.4,6.86666666666667,465,752,2471,7,3.3353557127239,1.81771141699515,0.75586207348005,0.0000000000000000119811918234266,0.000000000000000000000000000000186339768323473,"broadcast",1
"1099791459191005184",13,14,13,1,1,3,3,10,3.5,10,0.769230769230769,4.33333333333333,4.93288286231625,2.37362637362637,-2.07357617696804,-1.25738083749791,0.81619533947013,-2.07357617696804,-2.00294216770076,2.33579597419302,0.113527861288085,0.216381616159564,0,0,0.153846153846154,0.512021518242886,1779.84615384615,1897.53846153846,37369,6.53846153846154,123417.076923077,2610.76923076923,161827.384615385,8.38461538461539,158559,1775,193140,9,3.18434529293547,1.69113720772731,0.000000000000000889631586739521,0.0000000000000000000000000000000686723057627329,0.0000000000000000000000000000000105784812785505,"broadcast",1
"1099792163813056512",5,6,5,1,1,1,1,5,3,5,1,5,0,1.66666666666667,-1.06235071247029,-1.06235071247029,0,-1.06235071247029,-1.06235071247029,2.77319814437016,0.0358891650353201,0.103133783535316,0,0,0,0.748654841874558,372,500.6,36892,5,72343,2847,38287,10,72343,2847,38287,10,2.23606797749979,0,0,0,0,"unclassified",NA
"1099792683894222848",4,5,4,1,1,3,3,2,1.25,2,0.5,1.33333333333333,0.577350269189626,2,-1.20898282720371,0.374175200645945,1.58315802784966,-0.948742946631158,-0.263431759376785,2.66107034664086,0.0784957504057618,0.0804036258509557,0.173286795139986,0.693147180559945,0.5,0.485229768260392,835.5,639.25,19545,5.75,19023.5,906,51045,7,37578,973,68124,6,1.73205080756888,1,0.000000000000000194289029309402,-1,-1.73205080756888,"unclassified",NA
"1099796047738667008",7,8,7,1,1,4,4,2,1.6,2,0.285714285714286,1.75,0.5,2.42857142857143,-0.333588873680729,0.331239391729496,0.664828265410225,-0.1324341489907,0.320362138327612,2.65353254548754,0.354894779856384,0.117787061734091,0.328940727570578,2.30258509299405,0.714285714285714,0.776150690283524,1099.85714285714,680.285714285714,5019.42857142857,6.42857142857143,2047.85714285714,684.285714285714,9986.57142857143,7.57142857142857,1429,231,6803,7,2.09529398522391,1.35567429397808,0.737640305228188,0.47725999647402,-0.477259996474019,"unclassified",NA
